                  Estimate Std. Error
Epsiloninput_d -1.31436516  0.9812260
Epsiloninput_d -1.21270211  1.1230894
Epsiloninput_d -1.21270211  1.0806936
Epsiloninput_d -1.33441530  1.0621996
Epsiloninput_d -1.31436516  1.0722252
Epsiloninput_d -1.31436516  1.0277333
Epsiloninput_d -1.31436516  1.0277333
Epsiloninput_d -1.41555743  1.0538735
Epsiloninput_d -1.25327317  1.0503234
Epsiloninput_d -1.33441530  1.1053050
Epsiloninput_d -1.31436516  0.9324020
Epsiloninput_d -1.23114722  0.9877953
Epsiloninput_d -1.23114722  0.9393128
Epsiloninput_d -1.31436516  1.0722252
Epsiloninput_d -1.21270211  1.1230894
Epsiloninput_d -1.33441530  1.1053050
Epsiloninput_d -1.29384423  1.0588022
Epsiloninput_d -1.31436516  1.1149430
Epsiloninput_d -1.14792929  0.9888190
Epsiloninput_d -0.98149341  1.0658038
Epsiloninput_d -0.98149341  1.0658038
Epsiloninput_d -1.06471135  0.9843145
Epsiloninput_d -1.14792929  0.9403893
Epsiloninput_d -1.31436516  1.1149430
Epsiloninput_d -0.98149341  1.0210321
Epsiloninput_d -0.98149341  1.0210321
Epsiloninput_d -1.06471135  0.9356516
Epsiloninput_d -0.89827547  1.0058803
Epsiloninput_d -0.89827547  1.0058803
Epsiloninput_d -0.89827547  0.9583132
Epsiloninput_d -0.98149341  0.9250104
Epsiloninput_d -0.98149341  0.9742050
Epsiloninput_d -0.81505754  0.9849733
Epsiloninput_d -1.63894033  1.2205471
Epsiloninput_d -1.63894033  1.2205471
Epsiloninput_d -0.81505754  0.9849733
Epsiloninput_d -1.63894033  1.1816531
Epsiloninput_d -1.63894033  1.1816531
Epsiloninput_d -0.97033067  0.9076078
Epsiloninput_d -0.97033067  0.9076078
Epsiloninput_d -0.89827547  0.9082582
Epsiloninput_d -0.81505754  0.9363447
Epsiloninput_d -1.63894033  1.1414346
Epsiloninput_d -1.63894033  1.0997462
Epsiloninput_d -1.63894033  1.1414342
Epsiloninput_d -1.63894033  1.0997462
Epsiloninput_d -0.81505754  0.8850481
Epsiloninput_d -1.63894033  1.2205468
Epsiloninput_d -1.63894033  1.1816528
Epsiloninput_d -1.63894033  1.1816528
Epsiloninput_d -1.63894033  1.0564140
Epsiloninput_d -0.70872900  1.0172252
Epsiloninput_d -0.70872900  1.0172252
Epsiloninput_d -0.65632519  0.9595294
Epsiloninput_d -0.65632519  0.9595294
Epsiloninput_d -1.63894033  1.0112267
Epsiloninput_d -1.63894033  1.0112267
Epsiloninput_d -1.63894033  0.9639234
Epsiloninput_d -1.63894033  0.9639234
Epsiloninput_d -1.32154072  0.8539146
Epsiloninput_d -1.32154072  0.7973324
Epsiloninput_d -0.97033067  0.8545881
Epsiloninput_d -1.63894033  0.9141757
Epsiloninput_d -1.63894033  0.9141757
Epsiloninput_d -1.63894033  0.8615602
Epsiloninput_d -0.70872900  0.9702144
Epsiloninput_d -0.70872900  0.9702144
Epsiloninput_d -0.73183960  0.8548543
Epsiloninput_d -0.65632519  0.9095414
Epsiloninput_d -0.72413606  0.9196939
Epsiloninput_d -0.72413606  0.8674132
Epsiloninput_d -1.63894033  1.2205468
Epsiloninput_d -1.63894033  1.0564140
Epsiloninput_d -0.97033067  0.7980537
Epsiloninput_d -0.28050625  1.0032813
Epsiloninput_d -0.28050625  1.0032813
Epsiloninput_d -0.71643253  0.8719509
Epsiloninput_d -1.17967629  0.7830442
Epsiloninput_d -0.70872900  0.9208067
Epsiloninput_d -0.70872900  0.8685930
Epsiloninput_d -1.17967629  0.8405169
Epsiloninput_d -0.71643253  0.9239748
Epsiloninput_d -0.70102546  0.8572468
Epsiloninput_d -0.66708194  0.8951598
Epsiloninput_d -0.93025108  0.7881226
Epsiloninput_d -0.66708194  0.8413564
Epsiloninput_d -0.65632519  0.8566413
Epsiloninput_d -0.58081079  0.8538883
Epsiloninput_d -0.50704946  0.8999984
Epsiloninput_d -0.28050625  0.9555848
Epsiloninput_d -0.28050625  0.9054627
Epsiloninput_d -0.28050625  0.9053790
Epsiloninput_d -0.28050625  0.9555848
Epsiloninput_d -0.56100792  0.9560015
Epsiloninput_d -1.18262478  0.8168839
Epsiloninput_d -0.58081079  0.9069489
Epsiloninput_d -1.01309443  0.9078582
Epsiloninput_d -1.01309443  0.8548540
Epsiloninput_d -0.84356408  0.9339449
Epsiloninput_d -0.84356408  0.8825089
Epsiloninput_d -0.56100792  1.0036783
Epsiloninput_d -0.50704946  0.8465023
Epsiloninput_d -0.67403373  0.9007991
Epsiloninput_d -0.69498591  0.9006846
Epsiloninput_d -0.71593809  0.9444122
Epsiloninput_d -0.43153505  0.8887687
Epsiloninput_d -0.56100792  1.0491907
Epsiloninput_d -0.99843404  0.8608923
Epsiloninput_d -0.39475040  0.9962956
Epsiloninput_d -0.43153505  0.8345530
Epsiloninput_d -0.39475040  1.0421305
Epsiloninput_d -0.35602065  0.8176940
Epsiloninput_d -0.56100792  1.0491907
Epsiloninput_d -0.28050625  0.8523095
Epsiloninput_d -0.69498591  0.9511382
Epsiloninput_d -0.23141070  1.0689911
Epsiloninput_d -0.35602065  0.8729574
Epsiloninput_d -0.48355120  1.0078384
Epsiloninput_d -0.28050625  0.7956132
Epsiloninput_d -0.20499184  0.8264628
Epsiloninput_d -0.23141070  1.1118332
Epsiloninput_d -0.99843404  0.9135462
Epsiloninput_d -0.05237856  0.6683980
Epsiloninput_d -0.05237856  0.6683980
Epsiloninput_d -0.48355120  1.0531711
Epsiloninput_d -0.48355120  1.0966314
Epsiloninput_d -0.23141070  1.1530847
Epsiloninput_d -0.48355120  1.0531711
Epsiloninput_d -0.81424329  0.8903834
Epsiloninput_d -0.23141070  1.1118332
Epsiloninput_d -0.23141070  1.1530847
Epsiloninput_d -0.63005255  0.9569072
Epsiloninput_d -0.63005255  0.9067746
Epsiloninput_d -0.23141070  1.1530847
Epsiloninput_d -0.20499184  0.7678604
Epsiloninput_d -0.12947744  0.7949101
Epsiloninput_d -0.23141070  1.1530847
Epsiloninput_d -0.44586181  0.9606972
Epsiloninput_d -0.44586181  0.9107736
Epsiloninput_d -0.48355120  1.0966314
Epsiloninput_d -0.81424329  0.9897701
Epsiloninput_d -0.81424329  0.9413892
Epsiloninput_d -0.81424329  0.9897701
Epsiloninput_d -0.26300229  1.0006899
Epsiloninput_d -0.26300229  1.0463324
Epsiloninput_d -0.12947744  0.7337922
Epsiloninput_d -0.06882245  0.7060684
Epsiloninput_d -0.06882245  0.6364758
Epsiloninput_d -0.05237856  0.5944112
Epsiloninput_d -0.26300229  1.0463324
Epsiloninput_d  0.17623346  0.8186191
Epsiloninput_d  0.17623346  0.8186191
Epsiloninput_d  0.17623346  0.7594117
Epsiloninput_d -0.05237856  0.5097976
Epsiloninput_d -0.02108374  0.5244672
Epsiloninput_d -0.15670990  0.9884944
Epsiloninput_d -0.15670990  0.9884944
Epsiloninput_d  0.17623346  0.7594117
Epsiloninput_d -0.02108374  0.4261863
Epsiloninput_d  0.09322215  0.5109096
Epsiloninput_d  0.05171649  0.4266859
Epsiloninput_d  0.13472781  0.6509384
Epsiloninput_d  0.13472781  0.5747083
Epsiloninput_d -0.15670990  0.9400479
Epsiloninput_d -0.15670990  0.9400479
Epsiloninput_d -0.15670990  1.0346749
Epsiloninput_d -0.15670990  1.0346750
Epsiloninput_d  0.17623346  0.6951798
Epsiloninput_d  0.17623346  0.6243748
Epsiloninput_d -0.15670990  1.0788806
Epsiloninput_d -0.15670990  0.8889651
Epsiloninput_d -0.15670990  0.9884944
Epsiloninput_d -0.15670990  0.8347622
Epsiloninput_d -0.04239103  0.8627780
Epsiloninput_d -0.15670990  0.9400479
Epsiloninput_d -0.15670990  0.8889651
Epsiloninput_d -0.15670990  1.0788806
Epsiloninput_d  0.01021083  0.3055916
Epsiloninput_d  0.09322215  0.5953653
Epsiloninput_d -0.15670990  0.9400479
Epsiloninput_d  0.41487082  0.8865777
Epsiloninput_d  0.41487082  0.8865777
Epsiloninput_d  0.41487082  0.8322192
Epsiloninput_d  0.07192790  0.8762080
Epsiloninput_d  0.41487082  0.7740551
Epsiloninput_d  0.42537172  0.7813229
Epsiloninput_d  0.42537172  0.7190510
Epsiloninput_d  0.32155542  0.7626747
Epsiloninput_d  0.07192790  0.8211633
Epsiloninput_d -0.04239103  0.8068176
Epsiloninput_d  0.18624592  0.8206463
Epsiloninput_d  0.30055189  0.8052410
Epsiloninput_d  0.32155542  0.6988292
Epsiloninput_d  0.21773912  0.6630922
Epsiloninput_d  0.30055189  0.8613038
Epsiloninput_d -0.15670990  0.9884944
Epsiloninput_d  0.18624592  0.8757234
Epsiloninput_d  0.18624592  0.9766032
Epsiloninput_d  0.18624592  0.9275358
Epsiloninput_d  0.15542848  0.7152555
Epsiloninput_d  0.18624592  0.9275358
Epsiloninput_d  0.15542848  0.7778313
Epsiloninput_d  0.05171649  0.5248733
Epsiloninput_d  0.18624592  0.9766032
Epsiloninput_d -0.12712874  0.9110020
Epsiloninput_d  0.09311784  0.7535108
Epsiloninput_d -0.12712874  0.8581920
Epsiloninput_d -0.12712874  0.9110020
Epsiloninput_d -0.12712874  1.0536688
Epsiloninput_d -0.12712874  0.9609140
Epsiloninput_d -0.12712874  1.0083585
Epsiloninput_d -0.12712874  0.9609140
Epsiloninput_d -0.12712874  1.0536688
Epsiloninput_d  0.09311784  0.8131480
Epsiloninput_d  0.09311784  1.0173171
Epsiloninput_d  0.09311784  0.8687006
Epsiloninput_d  0.09311784  0.9209082
Epsiloninput_d  0.09311784  1.0173171
Epsiloninput_d  0.09311784  0.9703108
Epsiloninput_d -0.12712874  1.0083585
Epsiloninput_d  0.09311784  0.8687006
Epsiloninput_d  0.09311784  0.9209082
Epsiloninput_d  0.09311784  0.9209082
Epsiloninput_d  0.09311784  0.9209082
Epsiloninput_d  0.09311784  0.9703108
Epsiloninput_d  0.09311784  1.0173171
Epsiloninput_d  0.09311784  0.9703108
Epsiloninput_d  0.09311784  0.9703108
Epsiloninput_d  0.09311784  1.0173171
Epsiloninput_d  0.09311784  1.0173171
Epsiloninput_d  0.09311784  1.0173171
Epsiloninput_d  0.09311784  1.0622454
Epsiloninput_d  0.09311784  1.1053490
Epsiloninput_d  0.09311784  1.0622454
Epsiloninput_d  0.09311784  1.1053490
Epsiloninput_d -1.63894033  0.8055153
Epsiloninput_d -1.01017103  0.7826389
Epsiloninput_d -1.53634343  0.7715057
Epsiloninput_d -1.42885658  0.7672711
Epsiloninput_d -0.48355120  0.9603682
Epsiloninput_d -0.26167106  0.9025450
Epsiloninput_d -0.26300229  0.9528637
Epsiloninput_d -0.84781333  0.9943186
Epsiloninput_d -0.72726544  0.9031973
Epsiloninput_d -0.23141070  1.0243588
Epsiloninput_d -0.56674609  0.9648848
Epsiloninput_d -1.61841275  0.8867499
Epsiloninput_d  0.52918801  0.7250570
Epsiloninput_d -0.15670990  0.7767861
Epsiloninput_d -1.34573378  0.9514237
Epsiloninput_d -1.21270211  0.9905495
Epsiloninput_d -0.71593809  0.8935789
Epsiloninput_d  0.03080720  0.7799074
Epsiloninput_d -0.12712874  0.8028424
Epsiloninput_d -0.64074627  0.8217386
Epsiloninput_d -0.97115847  1.0047826
Epsiloninput_d -1.42640727  0.9359113
Epsiloninput_d -0.08367338  0.5728542
Epsiloninput_d -0.05396303  0.6924771

Maximum gradient component: 1.89529e-05 
