OID_,FEATUREID,FMEAS,Distance,GIS_Key,lat_mean,lon_mean,LocationCl,flowDem,flowDetail,flowTrunca,nodeID,NodeLon,NodeLat
,"917,612",0.199559799999000,0.000000000000000,103-1,41.184697090900002,-77.940050545500000,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,103-1,-77.940119843000005,41.184429285999997
,"907,904",0.427299999996000,0.000000000000000,104-2,41.344460142899997,-77.196595342899997,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,104-2,-77.196741123999999,41.344460918000003
,"899,153",2.700042800000000,0.000000000000000,1059-1,41.465111999999998,-76.498457000000002,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1059-1,-76.498440879000000,41.465109515000002
,"904,910",0.383836098663000,-0.000000000232831,1061-1,41.357059999999997,-76.748699999999999,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1061-1,-76.748731434999996,41.357095368000003
,"902,250",2.060643600010000,0.000000000000000,1062-1,41.418439999999997,-76.711110000000005,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1062-1,-76.711034294000001,41.418712610999997
,"913,788",6.179897100000000,0.000000000000000,108-1,41.237499999999997,-77.560000000000002,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,108-1,-77.559902398999995,41.237485751999998
,"916,649",0.332960794997000,0.000000001975634,110-1,41.235278000000001,-78.034443999999993,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,110-1,-78.034483342000001,41.235258160999997
,"941,907",1.438641786670000,0.000000002634178,1124-1,40.622326000000001,-78.778881999999996,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1124-1,-78.778774063000000,40.622208888999999
,"914,556",1.128876600000000,0.000000003725290,114-1,41.236389000000003,-77.688056000000003,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,114-1,-77.687753315999998,41.236345128000004
,"914,575",4.522664000000000,0.000000000000000,116-1,41.235833000000000,-77.705832999999998,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,116-1,-77.705822413000007,41.235873349999999
