"GIS_Key","lat_mean","lon_mean"
"166-1",40.891667,-76.241389
"1685-1",40.327221,-78.410004
"1685-2",40.3636842631579,-78.4179117368421
"1686-2",40.3510044563107,-78.3881614660194
"17-1",41.3048148333333,-76.481944
"172-1",40.922778,-76.153333
"173-1",40.8875748601399,-76.3491463601399
"173-2",40.909708,-76.4255896701031
"1735-1",41.3166177058824,-76.1938235294118
"1735-2",41.2952684655172,-76.1985484655172
"1736-1",41.281944,-75.726389
"1738-1",41.282722,-75.631083
"174-1",40.941111,-76.307778
"1740-1",41.291389,-76.268056
"1741-1",41.291111,-76.164444
"1743-1",41.288333,-75.623333
"1747-1",41.302778,-76.166111
"1750-2",41.306111,-76.100556
"1758-2",41.030734,-75.184795
"1758-3",41.009689875,-75.189002
"1760-1",41.388065,-75.823578
"1766-1",41.400833,-76.116111
"1767-1",41.305,-75.486667
"1767-2",41.3313999393939,-75.5112854141414
"1767-3",41.375833,-75.544444
"1767-4",41.395,-75.583056
"1768-1",41.404167,-76.122778
"1769-1",41.4085290588235,-76.0937095294118
"1770-1",41.421111,-75.721944
"178-1",40.953333,-76.363333
"1785-2",41.833611,-77.944167
"1785-3",41.8176732857143,-77.9806649285714
"1785-4",41.7886361011236,-78.022200258427
"179-2",40.966111,-76.335833
"1793-2",40.591389,-79.14
"180-1",40.962222,-76.375
"1819-1",39.922675,-77.448585
"1819-3",39.907222,-77.490833
"1824-1",39.824444,-77.452222
"1824-2",39.7863299393939,-77.4900674848485
"1825-1",39.838889,-77.5375
"1826-3",39.736944,-77.565833
"183-1",41.2698853402062,-76.3809165670103
"183-2",41.260556,-76.374444
"183-3",41.2297651267606,-76.3796166478873
"183-5",41.18829375,-76.386909625
"183-6",41.1525,-76.368611
"183-7",41.1151150142857,-76.3630715
"183-9",41.085833,-76.410556
"1837-2",39.837222,-77.3875
"1849-1",41.6386902857143,-75.4593651428571
"1849-2",41.5954796363636,-75.4823737272727
"1849-3",41.5533754716981,-75.522311490566
"1849-4",41.484208425,-75.5505905
"1849-6",41.472778,-75.604167
"1849-7",41.4515525102041,-75.631509877551
"1854-1",41.3523562962963,-76.209640037037
"1861-1",41.356389,-75.5225
"1863-1",41.354722,-76.162222
"1866-1",41.384167,-76.1438760454545
"1868-2",41.3780727936508,-79.7701763015873
"1874-2",41.1646357931035,-77.6094154827586
"1875-2",41.176111,-78.2675
"1878-1",41.52475690625,-78.82905371875
"1878-2",41.498056,-78.8575
"1883-2",41.5250243478261,-78.7915938695652
"1888-2",41.458889,-79.775556
"1888-3",41.4225,-79.789444
"189-1",41.006944,-76.108611
"1891-1",41.3193252380952,-77.5189219047619
"1895-1",41.4170139375,-79.558489625
"1898-1",41.6459744603175,-79.8710271746032
"1898-2",41.594444,-79.856944
"19-1",39.951944,-77.8575
"19-2",39.9300002727273,-77.8728287272727
"1903-1",41.409444,-79.693889
"1906-1",41.4279378421053,-79.5209459473684
"1908-2",41.418889,-79.629444
"1910-1",41.178333,-77.815833
"1914-1",41.4375,-79.899444
"1916-1",41.4178636923077,-79.554829
"1916-2",41.4312546896552,-79.547778
"192-1",41.015556,-76.096667
"193-1",41.025833,-76.055833
"1931-4",39.831112,-76.10083
"1932-1",39.790278,-76.574167
"1932-2",39.8054833913043,-76.5423914347826
"1935-1",39.811111,-76.558056
"1935-2",39.829167,-76.532778
"1936-2",39.829167,-76.366667
"1938-2",39.8325,-76.3625
"1943-2",39.957222,-75.444167
"1943-3",39.943333,-75.417778
"1946-2",39.861,-76.3415556
"1947-1",39.859167,-76.2025
"1948-2",41.552778,-77.148611
"1949-1",39.9915525,-75.445239125
"1953-1",41.4680554444444,-77.1801853333333
"1954-2",41.5606992721088,-77.7833483809524
"1954-3",41.5344023567251,-77.7884381345029
"1954-4",41.4983410952381,-77.8158242190476
"1954-5",41.487222,-77.822222
"196-1",40.998056,-76.311944
"1966-2",41.608889,-78.218333
"1966-4",41.5534924285714,-78.2034325714286
"1967-2",41.5206351428571,-76.7882671428571
"1969-1",41.548333,-76.555556
"1969-2",41.516389,-76.585
"197-1",41.025833,-76.17
"1971-2",41.5301248,-76.48963915
"1972-1",41.209167,-78.145556
"1972-2",41.191111,-78.105556
"1972-3",41.165556,-78.075556
"1973-1",41.361111,-79.232778
"1974-2",41.38313725,-79.95503797
"1974-3",41.3743938125,-79.9197925875
"1976-1",41.221944,-78.096111
"1976-2",41.186667,-78.059444
"1977-1",41.181667,-76.926667
"198-1",41.0425,-75.995
"1981-1",41.183333,-75.890278
"1981-2",41.2078568571429,-75.900833
"1983-1",41.229722,-76.458611
"1986-1",40.3483335,-79.0523615
"1987-1",40.4116479333333,-78.8259812666667
"1988-1",41.299722,-76.274722
"1988-2",41.2515048333333,-76.2520139166667
"1993-1",41.293291,-76.318299
"1993-2",41.2459941807229,-76.3612964939759
"1999-1",41.2475,-76.285278
"2-1",39.862222,-77.436111
"2-2",39.880833,-77.452222
"2-3",39.901389,-77.4675
"2009-1",41.211389,-75.838056
"2009-2",41.2330155714286,-75.8179762857143
"2010-1",41.2572939677419,-75.779435483871
"2011-1",40.3105555,-79.0916665
"2012-1",40.3827906206897,-78.6038243448276
"2012-2",40.3936251186441,-78.6165628135593
"2013-1",41.2937944150943,-76.0914153018868
"2015-1",41.290278,-76.297222
"2015-2",41.266944,-76.268056
"2016-1",41.307222,-76.223056
"2016-2",41.276111,-76.227778
"202-1",41.0741149459459,-76.3086371621622
"2021-1",39.8438333333333,-76.1983983
"2026-2",39.725278,-76.250556
"203-1",41.055278,-75.9475
"2030-1",39.748056,-76.554167
"2030-2",39.750278,-76.540833
"2031-2",39.7525,-76.435
"2032-2",39.7935015151515,-76.3954962727273
"2040-1",41.2352784666667,-79.2358325333333
"2043-1",41.234722,-79.0541677619048
"2049-1",41.2212762962963,-78.7209925925926
"2049-3",41.221111,-78.747222
"2050-1",41.250278,-78.768333
"2051-1",41.245556,-79.05138996
"2052-1",41.259722,-79.228333
"2057-1",41.255833,-79.844167
"2058-1",41.2568055,-78.696389
"2067-1",40.309444,-78.987778
"207-1",41.062973,-75.870556
"208-1",41.1624946923077,-75.8844133333333
"208-2",41.134441826087,-75.9262826086957
"208-3",41.0939007477477,-75.9984879009009
"2084-1",41.214444,-76.280278
"2085-1",40.364167,-79.036944
"2086-1",40.419167,-78.885556
"2099-2",41.677776,-75.309722
"210-1",41.0625215384615,-75.8584829230769
"2100-2",41.7209334,-75.38200028
"2101-1",41.686944,-75.291667
"2103-2",41.726944,-75.323611
"2105-2",41.727222,-75.255556
"211-1",41.060481,-75.8636845
"2111-3",41.768611,-75.084722
"2114-1",41.9599755294118,-75.3145749411765
"2115-1",41.895,-75.333333
"2115-2",41.9367157647059,-75.2933007647059
"2117-2",41.982777,-75.345
"2118-2",41.97,-75.441111
"2118-4",41.996111,-75.415833
"212-1",41.064167,-75.930833
"2140-1",41.323273,-74.816322
"2141-1",41.328866,-74.816074
"2149-1",41.176893,-75.154938
"215-2",41.081504,-76.232519
"2157-2",41.048333,-77.768333
"2157-3",41.0485042051282,-77.7347724615385
"2158-1",41.041528,-77.131528
"2161-1",40.254722,-78.6925
"2162-1",41.0502340526316,-77.3308094736842
"2165-2",41.1380916086957,-78.4019807826087
"2165-3",41.089167,-78.376944
"2168-1",40.7485941333333,-78.3731590666667
"2171-1",40.267197826087,-79.0245050869565
"2173-1",41.103333,-77.945833
"2175-1",41.0149754945055,-77.1939683516484
"2175-2",41.0267809411765,-77.1320585882353
"2175-3",41.0607845882353,-77.0574510588235
"2176-1",41.077222,-77.487778
"2177-2",41.095833,-78.441389
"2179-1",40.237495,-79.072042
"2179-2",40.22361146875,-79.039088875
"2179-3",40.221111,-79.006111
"218-1",40.6861971020408,-76.1284782653061
"2180-1",41.0631567040816,-77.3798060306122
"2180-2",41.078611,-77.426944
"2180-3",41.087253,-77.469373
"2183-2",41.1076950810811,-77.8922295405405
"2185-1",40.2744446666667,-79.015
"2188-1",41.0873198,-77.8264558
"2192-1",41.101667,-77.123333
