OID_,FEATUREID,FMEAS,Distance,GIS_Key,lat_mean,lon_mean,LocationCl,flowDem,flowDetail,flowTrunca,nodeID,NodeLon,NodeLat
,"919,227",2.069480706420000,0.000070707923822,100-1,41.239722000000000,-78.612778000000006,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,100-1,-78.613485294000000,41.239360662000003
,"902,508",1.787742565330000,0.000000000232831,102-2,41.375833000000000,-76.460832999999994,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,102-2,-76.460834508000005,41.375834707000003
,"918,104",2.226786900010000,-0.000000003725290,106-1,41.231943999999999,-78.357777999999996,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,106-1,-78.357685287999999,41.231931064000001
,"918,610",1.159791208330000,0.000000001317089,106-2,41.222771166699999,-78.378055916700006,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,106-2,-78.377899069999998,41.222600811000000
,"919,073",2.516098766670000,0.000000001317089,107-1,41.245277999999999,-78.590833000000003,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,107-1,-78.590804723999995,41.245292437000003
,"904,325",1.796000200000000,0.000000000000000,113-3,41.414721999999998,-77.041111000000001,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,113-3,-77.041109770999995,41.414726504999997
,"915,207",1.296400000010000,0.000000000000000,115-1,41.222125200000001,-77.673319350000000,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,115-1,-77.673469073000007,41.222174125000002
,"923,688",3.677669900010000,0.000000000000000,1176-1,40.953040000000001,-77.539429999999996,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1176-1,-77.539355006999997,40.953324238999997
,"923,877",2.171100000010000,-0.000000004165001,1200-1,41.088070000000002,-78.511409999999998,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1200-1,-78.511154571999995,41.088100662999999
,"914,273",0.448741859837000,0.000000000232831,121-1,41.233333000000002,-77.614999999999995,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,121-1,-77.615016315000005,41.233351026999998
,"915,824",1.779172444000000,0.000070709240911,128-1,41.268332999999998,-78.105000000000004,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,128-1,-78.104905063000004,41.268229308999999
,"915,019",3.787953133340000,-0.000000001317089,130-1,41.268056000000001,-77.950556000000006,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,130-1,-77.950473087000006,41.267965125000003
,"916,741",0.839908499999000,0.000000000000000,131-1,41.290832999999999,-78.522778000000002,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,131-1,-78.523097476000004,41.290877113000001
,"916,742",0.817494900002000,0.000000000000000,131-2,41.293332999999997,-78.515833000000001,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,131-2,-78.515516022000000,41.293289215000001
,"897,409",2.923700000000000,-0.000000003725290,1336-1,41.551389000000000,-76.745277999999999,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1336-1,-76.745014005000002,41.551404364000000
,"898,005",1.344000000000000,0.000000003725290,1336-2,41.529583500000001,-76.726111500000002,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1336-2,-76.726552339999998,41.529988310999997
,"893,305",1.289099999990000,0.000000000000000,1339-1,41.818539000000001,-77.791393982800003,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1339-1,-77.791570245000003,41.818382925000002
,"895,109",0.525546607999000,-0.000000001164153,1339-3,41.750833000000000,-77.677778000000004,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1339-3,-77.677747179999997,41.750848312000002
,"912,683",4.099323272000000,0.000000000000000,134-2,41.321238688500003,-77.935591868900005,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,134-2,-77.935663521999999,41.321202677999999
,"922,219",2.475023848000000,-0.000000001317089,1341-2,41.159166999999997,-78.599166999999994,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1341-2,-78.599045056999998,41.159035101999997
,"918,233",0.337299999999000,-0.000000001862645,135-4,41.244999999999997,-78.471204000000000,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,135-4,-78.470455301000001,41.244640681000000
,"918,730",0.936864299996000,-0.000000003725290,137-1,41.218611000000003,-78.382221999999999,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,137-1,-78.382330091000000,41.218626063000002
,"918,625",0.337299999999000,0.000000001862645,137-2,41.222499999999997,-78.406666999999999,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,137-2,-78.406619008999996,41.222690407000002
,"939,507",2.416059300000000,0.000000000000000,1395-1,40.659166999999997,-78.600832999999994,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1395-1,-78.600680744000002,40.659145895999998
,"935,439",0.472864200002000,-0.000000001862645,1398-2,40.765555999999997,-78.591110999999998,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1398-2,-78.591087204000004,40.765652015999997
,"917,432",0.062309100006000,0.000000000000000,1412-1,41.113570000000003,-77.421099999999996,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1412-1,-77.421060659000005,41.113717821000002
,"917,432",1.506187222940000,-0.000070712533634,1412-2,41.122700000000002,-77.429190000000006,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1412-2,-77.429228468999995,41.122680836999997
,"909,609",0.049205645338500,-0.000000001317089,1438-1,41.362444099999998,-77.590416500000003,Truncated Network,1.000000000000000,1.000000000000000,1.000000000000000,1438-1,-77.590041882999998,41.362030658000002
