"child_b","parent_b","dist_b","NodeLat","NodeLon"
"N_929004",9416,0.62441125497,40.920880171,-78.396518457
"N_929011",9436,0.913050865276,40.962522838,-78.701097225
"N_929012",9406,0.279852813742,40.850944213,-77.894040394
"N_929021",9434,2.18911688245,40.964537721,-78.717772349
"N_929022",9419,1.35683766184,40.950825916,-78.614111163
"N_929023",9507,1.54518289963,40.822073179,-77.709713978
"N_929024",9507,1.27411688245,40.822073179,-77.709713978
"N_929036",9428,0.549852813742,40.943153659,-78.564500451
"N_929037",9413,1.12669047558,40.94324846,-78.555342612
"N_929038",9393,1.48154328933,40.92941479,-78.428357115
"N_929049",9431,0.177426406871,40.840023554,-77.839136602
"N_929060",9398,1.77639610307,40.842305741,-77.822833967
"N_929073",9433,1.42110173055,40.928867824,-78.46941631
"N_929074",9388,1.36669047558,40.934847929,-78.459516174
"N_929079",9436,2.06183766184,40.962522838,-78.701097225
"N_929090",9407,0.637279220614,40.969142484,-78.737463491
"N_929091",9482,0.78941125497,40.959493327,-78.69490336
"N_929092",9482,3.2159545443,40.959493327,-78.69490336
"N_929093",9415,1.15926406871,40.888715249,-78.166061998
"N_929117",9434,0.964705627485,40.964537721,-78.717772349
"N_929126",9442,4.85477705423,40.902462463,-78.290453496
"N_929127",9396,0.951837661841,40.8846536,-78.116308937
"N_929136",9347,4.11462986798,40.913429194,-78.259909984
"N_929137",9398,1.30882250994,40.842305741,-77.822833967
"N_929144",9408,1.16033008589,40.876728398,-78.075948882
"N_929163",9429,1.23426406871,40.923623247,-78.423963396
"N_929164",9414,0.737132034356,40.922327414,-78.404923959
"N_929165",9449,1.67246212025,40.846577272,-77.90539811
"N_929174",9445,1.9889696962,40.922088396,-78.436404995
"N_929175",9406,1.3139696962,40.850944213,-77.894040394
"N_929190",9459,0.207426406871,40.864026787,-78.032799844
"N_929191",9443,0.327426406871,40.834813967,-77.818200084
"N_929199",9419,0.764558441227,40.950825916,-78.614111163
"N_929207",9380,1.9289696962,40.905300832,-78.231273882
"N_929208",9456,1.47169047558,40.873249437,-78.101316926
"N_929213",9428,0.919264068712,40.943153659,-78.564500451
"N_929214",9441,1.5569848481,40.877773782,-78.115872079
"N_929222",9452,0.207426406871,40.945800825,-78.617184562
"N_929236",9441,0.499705627485,40.877773782,-78.115872079
"N_929237",9485,0.469705627485,40.862056623,-78.028555439
"N_929238",9485,0.562279220614,40.862056623,-78.028555439
"N_929262",11137,0.966116300001,40.888715249,-78.166061998
"N_929273",9435,0.742279220614,40.965695382,-78.740139503
"N_929274",9356,2.69308657865,40.907022415,-78.226086881
"N_929284",9429,1.53382250994,40.923623247,-78.423963396
"N_929304",9463,0.0936396103068,40.888503755,-78.222379974
"N_929305",9458,1.11062445841,40.874665932,-78.117030316
"N_929320",11042,0.456373100001,40.911525528,-78.2212902
"N_929321",9506,0.292279220614,40.817513227,-77.734650261
