                  Estimate Std. Error
Epsiloninput_d -0.81505862 0.98497032
Epsiloninput_d -1.63894057 1.18164976
Epsiloninput_d -1.63894057 1.18164976
Epsiloninput_d -0.97033289 0.90760509
Epsiloninput_d -0.97033289 0.90760509
Epsiloninput_d -0.89827642 0.90825548
Epsiloninput_d -0.81505862 0.93634180
Epsiloninput_d -1.63894057 1.14143138
Epsiloninput_d -1.63894057 1.09974316
Epsiloninput_d -1.63894057 1.14143105
Epsiloninput_d -1.63894057 1.09974316
Epsiloninput_d -0.81505862 0.88504542
Epsiloninput_d -1.63894057 1.22054331
Epsiloninput_d -1.63894057 1.18164945
Epsiloninput_d -1.63894057 1.18164944
Epsiloninput_d -1.63894057 1.05641112
Epsiloninput_d -0.70873063 1.01722208
Epsiloninput_d -0.70873063 1.01722208
Epsiloninput_d -0.65632642 0.95952643
Epsiloninput_d -0.65632642 0.95952643
Epsiloninput_d -1.63894057 1.01122396
Epsiloninput_d -1.63894057 1.01122396
Epsiloninput_d -1.63894057 0.96392081
Epsiloninput_d -1.63894057 0.96392081
Epsiloninput_d -1.32154186 0.85391218
Epsiloninput_d -1.32154186 0.79733020
Epsiloninput_d -0.97033289 0.85458553
Epsiloninput_d -1.63894057 0.91417327
Epsiloninput_d -1.63894057 0.91417327
Epsiloninput_d -1.63894057 0.86155801
Epsiloninput_d -0.70873063 0.97021142
Epsiloninput_d -0.70873063 0.97021142
Epsiloninput_d -0.73184082 0.85485161
Epsiloninput_d -0.65632642 0.90953856
Epsiloninput_d -0.72413743 0.91969101
Epsiloninput_d -0.72413743 0.86741051
Epsiloninput_d -1.63894057 1.22054331
Epsiloninput_d -1.63894057 1.05641112
Epsiloninput_d -0.97033289 0.79805129
Epsiloninput_d -0.28050752 1.00327820
Epsiloninput_d -0.28050752 1.00327820
Epsiloninput_d -0.71643403 0.87194815
Epsiloninput_d -1.17967782 0.78304195
Epsiloninput_d -0.70873063 0.92080380
Epsiloninput_d -0.70873063 0.86859028
Epsiloninput_d -1.17967782 0.84051448
Epsiloninput_d -0.71643403 0.92397194
Epsiloninput_d -0.70102724 0.85724410
Epsiloninput_d -0.66708433 0.89515703
Epsiloninput_d -0.93025331 0.78812028
Epsiloninput_d -0.66708433 0.84135375
Epsiloninput_d -0.65632642 0.85663868
Epsiloninput_d -0.58081202 0.85388560
Epsiloninput_d -0.50705073 0.89999566
Epsiloninput_d -0.28050752 0.95558180
Epsiloninput_d -0.28050752 0.90545989
Epsiloninput_d -0.28050752 0.90537617
Epsiloninput_d -0.28050752 0.95558180
Epsiloninput_d -0.56100957 0.95599854
Epsiloninput_d -1.18262606 0.81688163
Epsiloninput_d -0.58081202 0.90694608
Epsiloninput_d -1.01309612 0.90785561
Epsiloninput_d -1.01309612 0.85485159
Epsiloninput_d -0.84356619 0.93394219
Epsiloninput_d -0.84356619 0.88250635
Epsiloninput_d -0.56100957 1.00367513
Epsiloninput_d -0.50705073 0.84649963
Epsiloninput_d -0.67403625 0.90079646
Epsiloninput_d -0.69498753 0.90068207
Epsiloninput_d -0.71593881 0.94440962
Epsiloninput_d -0.43153633 0.88876594
Epsiloninput_d -0.56100957 1.04918747
Epsiloninput_d -0.99843586 0.86088985
Epsiloninput_d -0.39475239 0.99629245
Epsiloninput_d -0.43153633 0.83455038
Epsiloninput_d -0.39475239 1.04212725
Epsiloninput_d -0.35602193 0.81769144
Epsiloninput_d -0.56100957 1.04918747
Epsiloninput_d -0.28050752 0.85230690
Epsiloninput_d -0.69498753 0.95113551
Epsiloninput_d -0.23141311 1.06898783
Epsiloninput_d -0.35602193 0.87295467
Epsiloninput_d -0.48355504 1.00783537
Epsiloninput_d -0.28050752 0.79561076
Epsiloninput_d -0.20499312 0.82646022
Epsiloninput_d -0.23141311 1.11182982
Epsiloninput_d -0.99843586 0.91354359
Epsiloninput_d -0.05237875 0.66839593
Epsiloninput_d -0.05237875 0.66839593
Epsiloninput_d -0.48355504 1.05316793
Epsiloninput_d -0.48355504 1.09662813
Epsiloninput_d -0.23141311 1.15308114
Epsiloninput_d -0.48355504 1.05316793
Epsiloninput_d -0.81424567 0.89038076
Epsiloninput_d -0.23141311 1.11182982
Epsiloninput_d -0.23141311 1.15308114
Epsiloninput_d -0.63005548 0.95690432
Epsiloninput_d -0.63005548 0.90677191
Epsiloninput_d -0.23141311 1.15308114
Epsiloninput_d -0.20499312 0.76785801
Epsiloninput_d -0.12947872 0.79490764
Epsiloninput_d -0.23141311 1.15308114
Epsiloninput_d -0.44586529 0.96069430
Epsiloninput_d -0.44586529 0.91077086
Epsiloninput_d -0.48355504 1.09662813
Epsiloninput_d -0.81424567 0.98976716
Epsiloninput_d -0.81424567 0.94138646
Epsiloninput_d -0.81424567 0.98976715
Epsiloninput_d -0.26301018 1.00068639
Epsiloninput_d -0.26301018 1.04632873
Epsiloninput_d -0.12947872 0.73378989
Epsiloninput_d -0.06882320 0.70606623
Epsiloninput_d -0.06882320 0.63647384
Epsiloninput_d -0.05237875 0.59440941
Epsiloninput_d -0.26301018 1.04632873
Epsiloninput_d  0.17623301 0.81861665
Epsiloninput_d  0.17623301 0.81861665
Epsiloninput_d  0.17623301 0.75940941
Epsiloninput_d -0.05237875 0.50979602
Epsiloninput_d -0.02108389 0.52446563
Epsiloninput_d -0.15671174 0.98849157
Epsiloninput_d -0.15671174 0.98849157
Epsiloninput_d  0.17623301 0.75940941
Epsiloninput_d -0.02108389 0.42618497
Epsiloninput_d  0.09322186 0.51090808
Epsiloninput_d  0.05171629 0.42668458
Epsiloninput_d  0.13472744 0.65093643
Epsiloninput_d  0.13472744 0.57470659
Epsiloninput_d -0.15671174 0.94004523
Epsiloninput_d -0.15671174 0.94004523
Epsiloninput_d -0.15671174 1.03467193
Epsiloninput_d -0.15671174 1.03467200
Epsiloninput_d  0.17623301 0.69517774
Epsiloninput_d  0.17623301 0.62437290
Epsiloninput_d -0.15671174 1.07887746
Epsiloninput_d -0.15671174 0.88896258
Epsiloninput_d -0.15671174 0.98849157
Epsiloninput_d -0.15671174 0.83475978
Epsiloninput_d -0.04239284 0.86277546
Epsiloninput_d -0.15671174 0.94004523
Epsiloninput_d -0.15671174 0.88896258
Epsiloninput_d -0.15671174 1.07887746
Epsiloninput_d  0.01021072 0.30559065
Epsiloninput_d  0.09322186 0.59536345
Epsiloninput_d -0.15671174 0.94004523
Epsiloninput_d  0.41486911 0.88657504
Epsiloninput_d  0.41486911 0.88657504
Epsiloninput_d  0.41486911 0.83221676
Epsiloninput_d  0.07192611 0.87620536
Epsiloninput_d  0.41486911 0.77405277
Epsiloninput_d  0.42537042 0.78132061
Epsiloninput_d  0.42537042 0.71904890
