                           Estimate   Std. Error
log_theta               6.142959043 307.78700925
log_SD                  2.249241945 153.89361009
log_mean                1.397474317          NaN
log_extradetectionSD   -1.166003453   0.25167287
gamma_j                 1.397474317          NaN
gamma_j                -0.315187536   0.10412335
gamma_j                -0.937340530   0.13401805
gamma_j                -0.323187993   0.09306843
gamma_j                -0.271922727   0.09302551
gamma_j                -0.675628136   0.10597895
gamma_j                -0.545442627   0.10439807
gamma_j                -0.402411913   0.10671197
gamma_j                -0.381133754   0.10721909
gamma_j                 0.156171587   0.11593067
gamma_j                 0.119113455   0.06180639
gamma_j                -0.451909688   0.10654020
log_detectrate         -0.058780793   0.06237574
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
log_extradetectrate_i   0.000000000   0.31160982
