"","child_name","N_100","rho_b"
"427","Townsend_MS",16.7271585788438,0.614822359036191
"428","West_Branch_White_River_MS1",6.47467444948976,0.983279744608207
"429","West_Branch_White_River_MS1",3.61760535980033,0.983279744608207
"430","West_Branch_White_River_MS1",5.53387863069239,0.983279744608207
"431","West_Branch_White_River_MS1",5.583699601018,0.983279744608207
"432","West_Branch_White_River_MS1",4.15422793719919,0.983279744608207
"433","West_Branch_White_River_MS1",4.2276963299912,0.983279744608207
"434","West_Branch_White_River_MS1",5.17534466428777,0.983279744608207
"435","White_River_Granville",5.29219061706178,0.644239422371356
"436","White_River_Hancock_North",4.04533522497991,0.451007315279083
"437","White_River_Hancock_North",1.46246762924301,0.451007315279083
"438","White_River_Peavine",0.530759779507681,0.584135946674901
"439","White_River_Peavine",0.783704145723709,0.584135946674901
"440","White_River_Trestle",0.112632935002111,0.302721657792686
